"word","category","dogmatic"
" always ","freq_A",1
" constant","freq_A",1
" continous","freq_A",1
" continual","freq_A",1
" eternal","freq_A",1
" evermore ","freq_A",1
" everywhere ","freq_A",1
" never ","freq_A",1
" nowhere ","freq_A",1
" permanent","freq_A",1
" perpetual","freq_A",1
" steadily ","freq_A",1
" steady ","freq_A",1
" whenever ","freq_A",1
"all over","freq_A",1
"all the time","freq_A",1
"at all times","freq_A",1
"at no time","freq_A",1
"each time","freq_A",1
"every time","freq_A",1
"for ever and ever","freq_A",1
"for ever","freq_A",1
"from the first","freq_A",1
"from the outset","freq_A",1
"from times immemorial","freq_A",1
"never more","freq_A",1
"not anywhere","freq_A",1
"not once","freq_A",1
"once for all","freq_A",1
"without letup","freq_A",1
" frequent","freq_B",0
" manifold ","freq_B",0
" mostly ","freq_B",0
" occasional","freq_B",0
" often ","freq_B",0
" ordinar","freq_B",0
" passing ","freq_B",0
" periodical","freq_B",0
" rare","freq_B",0
" regular","freq_B",0
" repeated","freq_B",0
" seldom ","freq_B",0
" sometimes ","freq_B",0
" sporadic","freq_B",0
" temporar","freq_B",0
" transient ","freq_B",0
" transitory ","freq_B",0
" usual","freq_B",0
"again and again","freq_B",0
"at times","freq_B",0
"for a time","freq_B",0
"for the most part","freq_B",0
"from time to time","freq_B",0
"here and there","freq_B",0
"in certain circumstances","freq_B",0
"in many cases","freq_B",0
"in parts","freq_B",0
"in places","freq_B",0
"in the first instance","freq_B",0
"now and again","freq_B",0
"now and then","freq_B",0
"on occasion","freq_B",0
"once in a way","freq_B",0
"once in a while","freq_B",0
"several times","freq_B",0
"way exception","freq_B",0
" accurate","quant_A",1
" all ","quant_A",1
" any ","quant_A",1
" anybody ","quant_A",1
" anyone ","quant_A",1
" anything ","quant_A",1
" countless ","quant_A",1
" each ","quant_A",1
" every ","quant_A",1
" everybody ","quant_A",1
" everyman ","quant_A",1
" everyone ","quant_A",1
" everything ","quant_A",1
" everywoman ","quant_A",1
" exact ","quant_A",1
" illimitable ","quant_A",1
" immeasurable ","quant_A",1
" incalculable ","quant_A",1
" incomprehensible ","quant_A",1
